Number of valid computations:,,91,91,91,91,69,63,59,56,67,61,69,68,76,73,63,60,73,71,71,70,86,86,73,67,13,6,65,62,74,70,62,59,71,67,66,60,73,70
Ratio of valid computations:,,0.561728395,0.561728395,0.561728395,0.561728395,0.425925926,0.388888889,0.364197531,0.345679012,0.413580247,0.37654321,0.425925926,0.419753086,0.469135802,0.450617284,0.388888889,0.37037037,0.450617284,0.438271605,0.438271605,0.432098765,0.530864198,0.530864198,0.450617284,0.413580247,0.080246914,0.037037037,0.401234568,0.382716049,0.456790123,0.432098765,0.382716049,0.364197531,0.438271605,0.413580247,0.407407407,0.37037037,0.450617284,0.432098765
Relative distance to minimum computation time:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,,,,,3.815506791,7.483831785,6.478333072,7.921853147,3.956435638,7.557214938,6.246929921,6.314832466,2.961330882,3.699848132,7.711344158,7.704159402,0.211469664,1.523051782,7.590709682,8.022914516,0.223042912,0.432138572,2.984412957,7.575310529,7.493199707,63.12351261,8.187247077,11.00177561,0.249559864,1.465713461,8.414176732,10.91884857,0.269148105,2.578858213,5.856842749,8.480202809,5.440237958,16.68934367
,std error of mean:,,,,,0.540068853,1.05950135,1.467555134,1.753754409,0.697956777,1.445786827,1.345080667,1.52730309,0.578551326,0.745010273,1.943279113,1.550205568,0.031998914,0.215239062,1.728906516,1.82241351,0.030966571,0.040477304,0.345605709,2.178631793,2.551826681,38.55179917,2.143802012,2.309483234,0.036001507,0.216915818,2.274689618,2.48370887,0.039482311,0.378769943,0.92084209,0.854416323,1.020643595,3.746642488
,0.25 quantile:,,,,,1.243589744,2.39280769,0.825549158,1.414438503,0.736049517,1.238636364,0.823076923,0.645751847,0.550094917,0.636761488,0.609766909,1.283764096,0,0.349793655,0.839950343,0.532903995,0,0.123809895,1.053763441,2.110089186,1.1,17.20625,0.590211132,1.287968228,0.04017339,0.395454545,0.655944056,1.642562516,0.022430225,0.442843273,1.956034863,2.821581197,0.707692308,2.630270092
,median:,,,,,2.340909091,5.417475728,2.598465473,3.042497429,1.428571429,3.274193548,2.232142857,1.734848485,1.107182941,1.371794872,1.852941176,3.220820493,0.109353508,0.859375,2.136363636,1.761616162,0.105603039,0.396969697,2.312619503,4.066666667,3.625,29.50664894,2.605993341,3.633064516,0.158741259,0.910367203,2.674316897,3.795454545,0.194444444,1.431372549,3.894266014,7.020548513,2.392857143,6.015835671
,0.75 quantile:,,,,,4.304347826,9.249858827,6.043159362,6.646400778,4.185641908,6.919032597,6,5.544757033,2.816536125,3.444444444,6.720079787,9.639785992,0.315261044,2.120575364,7.114850427,7.353005115,0.355819214,0.612108993,3.78815261,6.197670618,7.478060046,30.67624113,7.677419355,12.2903386,0.346454327,1.650378788,8.006520247,11.52175544,0.381087457,2.994623656,6.074995698,12.28397436,6.666666667,15.54517295
Relative distance to minimum time spent in subproblems:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean,,,,,1.968476786,4.176547285,10.23360358,36.51499375,12.34541239,38.82782242,4.932005011,16.69049166,3.873537341,18.71489211,5.695907378,23.28762247,2.796163993,10.69525355,6.09700897,21.82225267,1.040546286,8.788637751,10.23658851,98.58283256,19.55221241,24.1628543,7.793595317,29.85741693,3.503183259,30.43393757,6.087811825,25.23364131,3.159339814,11.35856896,18.42327595,44.90356292,8.262609411,27.84378384
,std error of mean:,,,,,0.705795207,0.950355368,2.686110491,12.09225485,3.829821163,13.15564587,0.782749079,3.705102948,0.634167382,4.038212347,1.218616706,5.930266182,0.540857412,3.497333575,1.179820569,4.584871081,0.217781298,2.72865119,2.717693758,59.09149326,5.713297294,16.95457751,1.917592369,7.91285169,0.525491413,11.1031751,1.524120045,6.745333194,0.661990913,4.036399313,4.86585865,8.560382719,1.862616488,9.300917737
,0.25 quantile:,,,,,0,0.632388575,1.102814496,2.118075076,1.293286242,2.143856901,0.963795058,3.517164303,0.843393895,3.849724294,0.95802442,2.20563156,0.691365365,0.157543411,1.292602932,4.037123769,0,1.506022359,2.345771104,1.631845654,1.60478009,3.9219499,1.582366838,4.004398442,1.202699513,1.904578398,0.976976197,2.249314905,0.679754837,0.427598625,3.814599116,5.112778898,1.12014334,1.526172919
,median:,,,,,0.583264353,2.391180464,2.375754109,4.437010219,2.438320583,5.791628586,2.265804275,6.603688015,1.73712639,7.231402348,2.093442352,4.429689262,1.086170371,1.417352202,2.447360547,6.906044184,0.270704656,3.124584815,4.561982215,3.258307907,6.565010551,6.819157763,3.176090872,8.639501828,2.038084448,5.537552193,2.52455459,6.464725733,1.246692045,1.326349544,6.820615884,17.24934888,2.565755305,4.246870083
,0.75 quantile:,,,,,1.958311314,4.220137691,8.314196823,19.81416052,8.485081411,22.71677273,6.315892788,13.33420427,4.189558714,15.91227072,5.191484418,19.30207481,2.458101136,4.776056157,6.624914282,17.7911259,0.853069257,5.166494172,6.568660173,7.422806531,33.33735841,8.745002961,6.413720516,20.93953186,3.340247005,14.03230696,6.27300492,18.19208525,2.43695433,4.791390469,14.98796641,57.13596001,7.69251368,12.83556243
Relative distance to minimum of maximum resident memory size:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
